#id	diameter	volume
algan01	5	0.004
algan01	10	0.022
algan01	15	0.059
algan01	20	0.1
algan01	25	0.2
algan01	30	0.3
algan01	35	0.5
algan01	40	0.7
algan01	45	0.9
algan01	50	1.2
algan01	55	1.5
algan01	60	1.8
algan01	65	2.1
algan01	70	2.5
algan01	75	2.9
algan01	80	3.3
algan01	85	3.8
algan01	90	4.3
algan01	95	4.8
algan01	100	5.4
algan02	5	0.004
algan02	10	0.024
algan02	15	0.065
algan02	20	0.1
algan02	25	0.2
algan02	30	0.4
algan02	35	0.6
algan02	40	0.8
algan02	45	1
algan02	50	1.3
algan02	55	1.6
algan02	60	2
algan02	65	2.4
algan02	70	2.8
algan02	75	3.2
algan02	80	3.7
algan02	85	4.2
algan02	90	4.8
algan02	95	5.4
algan02	100	6
algan03	5	0.004
algan03	10	0.022
algan03	15	0.062
algan03	20	0.1
algan03	25	0.2
algan03	30	0.4
algan03	35	0.6
algan03	40	0.8
algan03	45	1.1
algan03	50	1.4
algan03	55	1.8
algan03	60	2.2
algan03	65	2.6
algan03	70	3.1
algan03	75	3.6
algan03	80	4.1
algan03	85	4.7
algan03	90	5.3
algan03	95	5.9
algan03	100	6.6
algan04	5	0.007
algan04	10	0.035
algan04	15	0.091
algan04	20	0.15
algan04	25	0.3
algan04	30	0.5
algan04	35	0.7
algan04	40	0.9
algan04	45	1.2
algan04	50	1.6
algan04	55	2
algan04	60	2.4
algan04	65	2.9
algan04	70	3.4
algan04	75	3.9
algan04	80	4.5
algan04	85	5.1
algan04	90	5.8
algan04	95	6.5
algan04	100	7.2
algan05	5	0.006
algan05	10	0.034
algan05	15	0.089
algan05	20	0.15
algan05	25	0.3
algan05	30	0.5
algan05	35	0.7
algan05	40	1
algan05	45	1.3
algan05	50	1.7
algan05	55	2.1
algan05	60	2.6
algan05	65	3.1
algan05	70	3.7
algan05	75	4.3
algan05	80	4.9
algan05	85	5.6
algan05	90	6.3
algan05	95	7
algan05	100	7.8
algan06	5	0.006
algan06	10	0.034
algan06	15	0.091
algan06	20	0.15
algan06	25	0.3
algan06	30	0.5
algan06	35	0.8
algan06	40	1.1
algan06	45	1.4
algan06	50	1.8
algan06	55	2.3
algan06	60	2.8
algan06	65	3.4
algan06	70	4
algan06	75	4.6
algan06	80	5.3
algan06	85	6
algan06	90	6.8
algan06	95	7.6
algan06	100	8.4
algan07	5	0.009
algan07	10	0.047
algan07	15	0.119
algan07	20	0.2
algan07	25	0.4
algan07	30	0.6
algan07	35	0.9
algan07	40	1.2
algan07	45	1.5
algan07	50	1.9
algan07	55	2.4
algan07	60	3
algan07	65	3.6
algan07	70	4.2
algan07	75	4.9
algan07	80	5.6
algan07	85	6.4
algan07	90	7.2
algan07	95	8.1
algan07	100	9
algan08	5	0.009
algan08	10	0.045
algan08	15	0.116
algan08	20	0.2
algan08	25	0.4
algan08	30	0.6
algan08	35	0.9
algan08	40	1.2
algan08	45	1.6
algan08	50	2.1
algan08	55	2.6
algan08	60	3.2
algan08	65	3.8
algan08	70	4.5
algan08	75	5.2
algan08	80	6
algan08	85	7
algan08	90	7.7
algan08	95	8.6
algan08	100	9.6
algan09	5	0.008
algan09	10	0.044
algan09	15	0.116
algan09	20	0.2
algan09	25	0.4
algan09	30	0.6
algan09	35	0.9
algan09	40	1.3
algan09	45	1.7
algan09	50	2.2
algan09	55	2.8
algan09	60	3.4
algan09	65	4.1
algan09	70	4.8
algan09	75	5.6
algan09	80	6.4
algan09	85	7.2
algan09	90	8.1
algan09	95	9.1
algan09	100	10.2
algan10	5	0.009
algan10	10	0.046
algan10	15	0.122
algan10	20	0.2
algan10	25	0.4
algan10	30	0.7
algan10	35	1
algan10	40	1.4
algan10	45	1.8
algan10	50	2.3
algan10	55	2.9
algan10	60	3.6
algan10	65	4.3
algan10	70	5.1
algan10	75	5.9
algan10	80	6.7
algan10	85	7.6
algan10	90	8.6
algan10	95	9.7
algan10	100	10.8
algan11	5	0.008
algan11	10	0.044
algan11	15	0.12
algan11	20	0.2
algan11	25	0.4
algan11	30	0.7
algan11	35	1
algan11	40	1.4
algan11	45	1.9
algan11	50	2.5
algan11	55	3.1
algan11	60	3.8
algan11	65	4.5
algan11	70	5.3
algan11	75	6.2
algan11	80	7.1
algan11	85	8.1
algan11	90	9.1
algan11	95	10.2
algan11	100	11.4
algan12	5	0.011
algan12	10	0.057
algan12	15	0.148
algan12	20	0.25
algan12	25	0.5
algan12	30	0.8
algan12	35	1.1
algan12	40	1.5
algan12	45	2
algan12	50	2.6
algan12	55	3.3
algan12	60	4
algan12	65	4.8
algan12	70	5.6
algan12	75	6.5
algan12	80	7.5
algan12	85	8.5
algan12	90	9.6
algan12	95	10.8
algan12	100	12
algan13	5	0.011
algan13	10	0.057
algan13	15	0.149
algan13	20	0.25
algan13	25	0.5
algan13	30	0.8
algan13	35	1.2
algan13	40	1.6
algan13	45	2.1
algan13	50	2.7
algan13	55	3.4
algan13	60	4.2
algan13	65	5
algan13	70	5.9
algan13	75	6.9
algan13	80	7.9
algan13	85	9
algan13	90	10.1
algan13	95	11.3
algan13	100	12.6
algan14	5	0.01
algan14	10	0.056
algan14	15	0.148
algan14	20	0.25
algan14	25	0.5
algan14	30	0.8
algan14	35	1.2
algan14	40	1.7
algan14	45	2.2
algan14	50	2.8
algan14	55	3.6
algan14	60	4.4
algan14	65	5.3
algan14	70	6.2
algan14	75	7.2
algan14	80	8.3
algan14	85	9.4
algan14	90	10.6
algan14	95	11.9
algan14	100	13.2
algan15	5	0.014
algan15	10	0.068
algan15	15	0.176
algan15	20	0.3
algan15	25	0.6
algan15	30	0.9
algan15	35	1.3
algan15	40	1.8
algan15	45	2.3
algan15	50	3
algan15	55	3.8
algan15	60	4.6
algan15	65	5.5
algan15	70	6.5
algan15	75	7.6
algan15	80	8.7
algan15	85	9.9
algan15	90	11.1
algan15	95	12.4
algan15	100	13.8
algan16	5	0.013
algan16	10	0.066
algan16	15	0.173
algan16	20	0.3
algan16	25	0.6
algan16	30	0.9
algan16	35	1.3
algan16	40	1.8
algan16	45	2.4
algan16	50	3.1
algan16	55	3.9
algan16	60	4.8
algan16	65	5.8
algan16	70	6.8
algan16	75	7.9
algan16	80	9.1
algan16	85	10.3
algan16	90	11.6
algan16	95	13
algan16	100	14.1
algan17	5	0.013
algan17	10	0.069
algan17	15	0.179
algan17	20	0.3
algan17	25	0.6
algan17	30	1
algan17	35	1.4
algan17	40	1.9
algan17	45	2.5
algan17	50	3.2
algan17	55	4
algan17	60	5
algan17	65	6
algan17	70	7.1
algan17	75	8.2
algan17	80	9.4
algan17	85	10.7
algan17	90	12.1
algan17	95	13.5
algan17	100	15
algan18	5	0.013
algan18	10	0.069
algan18	15	0.181
algan18	20	0.3
algan18	25	0.6
algan18	30	1
algan18	35	1.5
algan18	40	2
algan18	45	2.6
algan18	50	3.3
algan18	55	4.2
algan18	60	5.2
algan18	65	6.2
algan18	70	7.3
algan18	75	8.5
algan18	80	9.8
algan18	85	11.1
algan18	90	12.5
algan18	95	14
algan18	100	15.6
algan19	5	0.013
algan19	10	0.068
algan19	15	0.181
algan19	20	0.3
algan19	25	0.6
algan19	30	1
algan19	35	1.5
algan19	40	2.1
algan19	45	2.7
algan19	50	3.5
algan19	55	4.4
algan19	60	5.4
algan19	65	6.5
