"xloc","yloc","snagspp","snagdbh","snaglen","snagfdir","snagstat","snagyear","snagwt0","snagwt1","snagwt2","snagwt3"
34.89,133.9,"PSME",0.3307,6.247,-1,3,2009,0,0,0,0
45.51,118.8,"PSME",0.7527,10.85,-1,2,2019,4.042,2.116,1.648,0
38.8,113,"PSME",0.7527,10.85,-1,2,2019,4.042,2.116,1.648,0
22.29,123.4,"PSME",0.7527,10.85,-1,2,2019,4.042,2.116,1.648,0
46.8,132.1,"PSME",0.7527,10.85,-1,2,2019,4.042,2.116,1.648,0
32.8,85.49,"PSME",1.456,15.95,-1,1,2029,28.08,8.015,6.211,0
8.859,131.9,"PSME",1.456,15.95,-1,1,2029,28.08,8.015,6.211,0
20.7,84.58,"PSME",0.3307,6.247,-1,3,2009,0,0,0,0
41.9,70.61,"PSME",1.148,13.63,-1,2,2019,4.602,2.498,1.944,0
24.92,81.33,"PSME",1.036,12.86,-1,2,2019,4.356,2.339,1.822,0
1.718,80.61,"PSME",1.036,12.86,-1,2,2019,4.356,2.339,1.822,0
11.44,72.51,"PSME",0.7609,8.963,-1,2,2019,2.418,1.274,0.9931,0
41.02,84.11,"PSME",2.272,19.61,-1,1,2029,14.84,6.053,5.617,0
6.575,98.87,"PSME",0.9605,10.46,-1,2,2019,2.825,1.524,1.188,0
2.465,125.6,"PSME",0.535,6.852,-1,2,2019,1.474,0.7662,0.5962,0
39.91,107.9,"PICO",9.4,59.67,123,3,1999,0,0,0,0
9.506,135.2,"PICO",14.74,92.45,-1,1,2029,294.3,128.7,157.4,73.57
24.36,205.1,"TSHE",7.926,31.57,-1,3,2009,0,0,0,3.386
11.39,191.3,"LAOC",5.8,55.06,66,3,1999,0,0,0,0
21.56,152.5,"LAOC",7.759,74.29,52,3,2009,0,0,0,2.549
49.47,144.5,"LAOC",9.28,90.74,-1,2,2019,15.1,19.59,21.7,8.776
47.46,161.5,"LAOC",5.8,55.06,53,3,1999,0,0,0,0
20.93,176.1,"LAOC",8.38,75.76,168,3,2009,0,0,0,3.114
26.86,150.2,"LAOC",7.32,73.06,177,3,2009,0,0,0,2.189
84.65,4.777,"LAOC",5.9,46.46,329,3,1999,0,0,0,0
111.7,5.83,"LAOC",7.887,63.52,279,3,2009,0,0,0,2.66
89.62,12.36,"LAOC",5.9,46.46,97,3,1999,0,0,0,0
103.4,39.74,"LAOC",11.14,91.45,-1,1,2029,208.3,75.44,88.79,22.91
64.95,37.09,"LAOC",5.9,46.46,0,3,1999,0,0,0,0
86.6,16.56,"LAOC",9.167,79.03,-1,2,2019,14.87,19.26,21.26,8.463
82.51,9.863,"PIPO",4.1,25.13,104,3,1999,0,0,0,0
132.8,10.42,"PIPO",7.713,39.91,-1,3,2009,0,0,0,0
115.2,7.76,"PIPO",8.381,61.93,-1,2,2019,17.55,2.779,23,12.19
100.9,2.571,"PIPO",4.1,25.13,267,3,1999,0,0,0,0
70.88,41.45,"PIPO",7.096,40.76,-1,3,2009,0,0,0,0
109.8,37.1,"LAOC",11.17,20.79,-1,2,2019,11.4,15.14,17.84,8.306
93.1,44.07,"LAOC",7.895,9.242,281,3,2009,0,0,0,1.6
105.5,39.62,"PICO",9.297,59.66,37,3,2009,0,0,0,2.752
60.97,0.2265,"PICO",9.297,59.66,190,3,2009,0,0,0,2.752
92.8,38.21,"PICO",7.4,46.74,30,3,1999,0,0,0,0
121.9,3.18,"PICO",11.66,78.19,-1,1,2029,147.2,61.43,78.8,22.58
72.16,102.9,"PSME",1.9,9.5,137,3,1999,0,0,0,0
120.8,78.68,"PSME",5.263,25.08,-1,3,2009,0,0,0,0.4199
80.57,53.67,"PSME",7.162,49.12,-1,1,2029,113.6,41.04,72.61,6.005
82.93,91.17,"PSME",7.162,49.12,-1,1,2029,113.6,41.04,72.61,6.005
74.66,93.72,"PSME",7.771,54.73,-1,1,2029,130.5,46.94,86.8,7.842
121.6,67.19,"PSME",4.163,24.92,122,3,2009,0,0,0,0.4199
89.99,72.29,"PSME",6.941,46.78,-1,1,2029,107.6,38.97,67.79,5.415
89.26,99.03,"PSME",1.9,9.5,206,3,1999,0,0,0,0
64.28,59.82,"PSME",1.9,9.5,43,3,1999,0,0,0,0
89.46,91.12,"PSME",5.553,41.58,-1,2,2019,12.19,8.972,13.83,1.521
