"xloc","yloc","species","dbh","ht","crwdth","cratio","crownwt0","crownwt1","crownwt2","crownwt3"
44.51,80.35,"PSME",2.345,21.62,7.036,55,2.619,2.127,2.02,0
28.73,132.1,"PSME",2.345,21.62,7.036,55,2.619,2.127,2.02,0
11.92,103.9,"PSME",2.345,21.62,7.036,55,2.619,2.127,2.02,0
44.1,73.39,"PSME",2.345,21.62,7.036,55,2.619,2.127,2.02,0
5.45,81.02,"PSME",4.188,32.63,9.726,55,7.418,5.604,7.404,0.5377
24.86,98.94,"PSME",4.188,32.63,9.726,55,7.418,5.604,7.404,0.5377
48.01,77.63,"PSME",4.188,32.63,9.726,55,7.418,5.604,7.404,0.5377
33.76,121.1,"PSME",2.495,22.54,7.282,55,2.93,2.358,2.341,0
21.77,70.78,"PSME",3.728,28.47,9.072,55,6.033,4.615,5.714,0.335
21.32,84.11,"PSME",3.728,28.47,9.072,55,6.033,4.615,5.714,0.335
35.58,133.2,"PSME",2.518,21.11,7.274,55,2.979,2.394,2.393,0
41.45,77.24,"PSME",2.761,22.39,7.654,55,3.519,2.793,2.98,0
38.03,88.73,"PSME",4.548,33.04,10.14,55,8.585,6.433,8.896,0.7386
49.79,94.67,"PSME",4.042,30.09,9.489,55,6.965,5.282,6.843,0.4672
24.33,82,"PICO",14.61,95.87,13.52,28,45.67,39.84,48.81,40.42
21.06,125,"PICO",15.94,98.52,14.27,28,54.18,48.49,58.6,56.49
36.76,199.1,"TSHE",14.18,65.64,23.88,73,68.11,35.27,58.62,57.62
17.84,139.5,"TSHE",14.18,65.64,23.88,73,68.11,35.27,58.62,57.62
12.81,170.8,"TSHE",14.18,65.64,23.88,73,68.11,35.27,58.62,57.62
29.18,179.9,"TSHE",16.73,69.09,25.93,75,78.42,40.17,75.5,88.32
9.799,164.4,"TSHE",16.73,69.09,25.93,75,78.42,40.17,75.5,88.32
16.24,180.8,"TSHE",17.41,68.36,26.5,77,80.7,41.22,80.05,97.54
20.63,148.4,"TSHE",17.41,68.36,26.5,77,80.7,41.22,80.05,97.54
4.651,158.8,"TSHE",14.25,70.44,24.18,73,71.63,37.04,61.5,61.05
17.83,183.3,"LAOC",11.14,109.4,12.42,21,18.93,25.13,29.57,13.73
15.95,166.9,"LAOC",11.83,110.8,12.77,20,20.32,27.21,32.73,16.01
57.72,51.98,"LAOC",10.88,96.87,11.98,20,18.4,24.35,28.41,13.92
123.7,36.06,"LAOC",10.88,96.87,11.98,20,18.4,24.35,28.41,13.92
124.7,38.13,"LAOC",11.69,98.85,12.53,20,20.03,26.78,32.07,15.52
129.6,30.81,"LAOC",12.99,102.2,13.52,21,22.61,30.73,38.31,20.42
128,41.27,"PIPO",11.02,88.5,12.85,40,28.9,4.064,43.19,27.52
89.94,16.2,"PIPO",11.02,88.5,12.85,40,28.9,4.064,43.19,27.52
117.5,48.09,"PIPO",11.86,93.01,13.51,41,34.06,4.535,52.21,35.27
110.3,14.69,"PIPO",12.6,93.45,14.14,42,39.18,4.96,61.25,43.54
72.81,25.38,"PIPO",13.36,94.3,14.84,44,46.36,5.49,73.15,54.75
64.82,1.668,"PIPO",10.07,94.96,12,40,24.61,3.612,35.19,21
90.51,15.76,"LAOC",12.54,36.66,12.12,23,13.04,17.62,21.67,11.18
100.2,19.07,"PICO",12.15,83.17,10.77,19,25.57,21.47,27.3,15.52
77.57,36.06,"PICO",13.79,87.09,11.65,19,33.66,28.95,35.85,26.62
124.2,69.77,"PSME",8.399,59.36,11.12,21,24.81,17.77,34.28,6.045
70.88,68.45,"PSME",8.399,59.36,11.12,21,24.81,17.77,34.28,6.045
104.8,63.07,"PSME",8.399,59.36,11.12,21,24.81,17.77,34.28,6.045
126.6,75.05,"PSME",8.399,59.36,11.12,21,24.81,17.77,34.28,6.045
119.8,53.5,"PSME",8.399,59.36,11.12,21,24.81,17.77,34.28,6.045
126.5,77.16,"PSME",8.399,59.36,11.12,21,24.81,17.77,34.28,6.045
102.8,80.5,"PSME",8.399,59.36,11.12,21,24.81,17.77,34.28,6.045
90.24,56.2,"PSME",8.602,62.92,11.16,20,25.83,18.48,36.11,6.526
126.4,63.7,"PSME",8.602,62.92,11.16,20,25.83,18.48,36.11,6.526
120.2,56.79,"PSME",8.602,62.92,11.16,20,25.83,18.48,36.11,6.526
