"xloc","yloc","cwddia","cwdlen","cwdpil","cwddir","cwdwt"
169.1,38.44,11.99,44.23,0,9,0.4344
143.9,169.9,11.99,44.23,0,284,0.4344
92.53,100.3,11.99,44.23,0,52,0.4344
168,95.9,5.99,23.96,0,3,0.4344
102.5,202.5,5.99,23.96,0,28,0.4344
107.7,20.63,5.99,23.96,0,104,0.4344
68.11,172.5,5.99,23.96,0,235,0.4344
87.98,168.4,5.99,23.96,0,269,0.05872
5.479,52.44,5.99,23.96,0,100,0.05872
119.3,42.19,5.99,23.96,0,325,0.05872
17.68,126.5,5.99,23.96,0,8,0.05872
6.963,147.8,5.99,23.96,0,124,0.05872
120.8,48.53,5.99,23.96,0,156,0.05872
201.8,123.2,5.99,23.96,0,57,0.05872
187.2,114.9,5.99,23.96,0,132,0.05872
203.9,140.4,5.99,23.96,0,275,0.05872
93.83,121.8,5.99,23.96,0,300,0.05872
56.3,176.4,5.99,23.96,0,309,0.05872
201.1,9.697,5.99,23.96,0,79,0.05872
190,159.4,5.99,23.96,0,140,0.05872
161.3,140.3,5.99,23.96,0,81,0.05872
175,185,5.99,23.96,0,301,0.05872
44.83,92.5,5.99,23.96,0,178,0.05872
20.23,49.08,5.99,23.96,0,131,0.05872
14.43,186.2,5.99,23.96,0,230,0.05872
116.4,92.37,5.99,23.96,0,349,0.05872
66.24,22.87,5.99,23.96,0,249,0.05872
81.45,37.15,5.99,23.96,0,243,0.05872
96.82,86.79,5.99,23.96,0,317,0.05872
194.7,54.12,5.99,23.96,0,179,0.05872
199.9,41.61,5.99,23.96,0,76,0.05872
20.03,206.5,5.99,23.96,0,191,0.05872
199.1,155.1,5.99,23.96,0,14,0.05872
34.02,97.01,5.99,23.96,0,315,0.05872
182.5,204,5.99,23.96,0,102,0.05872
130.4,67.32,5.99,23.96,0,315,0.05872
93.59,130.2,5.99,23.96,0,304,0.05872
78.09,105.6,5.99,23.96,0,148,0.05872
201.6,160.1,5.99,23.96,0,168,0.05872
128.9,111.5,5.99,23.96,0,29,0.05872
49.25,73.86,5.99,23.96,0,251,0.05872
121.8,142.2,5.99,23.96,0,296,0.05872
182.4,168.7,5.99,23.96,0,114,0.05872
198.1,115.4,5.99,23.96,0,34,0.05872
126.5,6.963,11.99,40.12,0,50,0.05872
90.92,207.1,11.99,37.58,0,8,0.05872
62.2,18.42,16,49.52,0,330,0.05872
40.04,101.4,11.99,37.11,0,209,0.05872
158.5,44.88,11.99,37.11,0,194,0.05872
47.34,52.47,5.99,23.96,0,256,0.05872
19.73,151,5.99,23.96,0,235,0.05872
90.81,78.73,2.99,11.96,0,249,0.05872
57.7,69.86,2.99,11.96,0,199,0.05872
155.4,128.5,2.99,11.96,0,63,0.05872
114.8,164.6,2.99,11.96,0,244,0.05872
78.13,90.45,2.99,11.96,0,47,0.05872
20.3,181.7,2.99,11.96,0,303,0.05872
40.86,151.6,2.99,11.96,0,313,0.05872
60.97,172.8,2.99,11.96,0,10,0.05872
163.8,73.1,2.99,11.96,0,300,0.05872
111.7,33.09,2.99,11.96,0,180,0.007304
85.6,35.32,2.99,11.96,0,345,0.007304
19.69,146.5,2.99,11.96,0,54,0.007304
90.43,205,2.99,11.96,0,240,0.007304
14.96,156,2.99,11.96,0,350,0.007304
207.5,55.39,2.99,11.96,0,307,0.007304
121.5,31.99,2.99,11.96,0,110,0.007304
27.58,138.6,2.99,11.96,0,255,0.007304
160.9,117.1,2.99,11.96,0,343,0.007304
183.7,101,2.99,11.96,0,88,0.007304
94.62,159.2,2.99,11.96,0,220,0.007304
156,152.2,2.99,11.96,0,150,0.007304
105.4,104.4,2.99,11.96,0,150,0.007304
171.5,90.68,2.99,11.96,0,125,0.007304
208.1,191.8,2.99,11.96,0,1,0.007304
96.48,67.36,2.99,11.96,0,269,0.007304
48.49,139.3,2.99,11.96,0,60,0.007304
48.44,5.669,2.99,11.96,0,29,0.007304
111.6,62.87,2.99,11.96,0,211,0.007304
159.5,30.27,2.99,11.96,0,272,0.007304
83.89,19.72,2.99,11.96,0,260,0.007304
71.11,50.11,2.99,11.96,0,353,0.007304
186.8,80.3,2.99,11.96,0,188,0.007304
142,31.19,2.99,11.96,0,103,0.007304
3.419,67.9,2.99,11.96,0,238,0.007304
93.22,193.6,2.99,11.96,0,66,0.007304
158.3,56.85,2.99,11.96,0,105,0.007304
33.64,73.29,2.99,11.96,0,263,0.007304
171.6,60.39,2.99,11.96,0,127,0.007304
36.29,62.38,2.99,11.96,0,68,0.007304
142.7,62.91,2.99,11.96,0,275,0.007304
154.7,178.8,2.99,11.96,0,290,0.007304
32.41,143.5,2.99,11.96,0,332,0.007304
194.6,183,2.99,11.96,0,316,0.007304
119.6,34.51,2.99,11.96,0,314,0.007304
140.8,95.53,2.99,11.96,0,312,0.007304
91.76,57.27,2.99,11.96,0,85,0.007304
0.4978,18.66,2.99,11.96,0,126,0.007304
95.5,34.76,2.99,11.96,0,286,0.007304
9.31,151.5,2.99,11.96,0,33,0.007304
77.04,196.8,2.99,11.96,0,30,0.007304
0.7484,55.34,2.99,11.96,0,203,0.007304
46.09,100.8,2.99,11.96,0,230,0.007304
194.9,106.4,2.99,11.96,0,185,0.007304
86.78,31.89,2.99,11.96,0,209,0.007304
53.35,78.55,2.99,11.96,0,354,0.007304
166.2,161.8,2.99,11.96,0,225,0.007304
56.04,180.3,2.99,11.96,0,215,0.007304
107.8,191.5,2.99,11.96,0,108,0.007304
93.57,26.18,2.99,11.96,0,337,0.007304
20.23,55.56,2.99,11.96,0,11,0.007304
29.76,185.7,2.99,11.96,0,123,0.007304
196.2,207.8,2.99,11.96,0,7,0.007304
76.47,173.2,2.99,11.96,0,225,0.007304
167.9,63.75,2.99,11.96,0,342,0.007304
54.26,111.8,2.99,11.96,0,104,0.007304
103.6,75.29,2.99,11.96,0,353,0.007304
36.45,81.11,2.99,11.96,0,226,0.007304
99.35,163.1,2.99,11.96,0,78,0.007304
106,108.5,2.99,11.96,0,323,0.007304
95.97,97.39,2.99,11.96,0,303,0.007304
141,130.6,2.99,11.96,0,321,0.007304
110.1,158.4,2.99,11.96,0,291,0.007304
173,132,2.99,11.96,0,305,0.007304
162.5,126.8,2.99,11.96,0,125,0.007304
206.9,173.3,2.99,11.96,0,262,0.007304
163.2,43.88,2.99,11.96,0,348,0.007304
130,180.1,2.99,11.96,0,334,0.007304
72.08,130.2,2.99,11.96,0,3,0.007304
14.01,49.22,2.99,11.96,0,52,0.007304
204.2,10.52,2.99,11.96,0,37,0.007304
115.5,53.85,2.99,11.96,0,333,0.007304
104.7,101.5,2.99,11.96,0,90,0.007304
100.8,131.6,11.99,37.92,0,339,0.007304
108.9,96.32,11.99,37.92,0,167,0.007304
30.54,110.1,5.99,23.96,0,114,0.007304
80.1,199.8,2.99,11.96,0,214,0.007304
135.8,182.7,2.99,11.96,0,296,0.007304
160.4,57.23,2.99,11.96,0,199,0.007304
72.4,70.98,2.99,11.96,0,21,0.007304
127.9,15.33,2.99,11.96,0,282,0.007304
178,167.3,2.99,11.96,0,249,0.007304
20.68,117.5,2.99,11.96,0,274,0.007304
207.3,93.95,2.99,11.96,0,61,0.007304
157.6,25.04,2.99,11.96,0,40,0.007304
95.37,169.1,2.99,11.96,0,23,0.007304
194,103.2,2.99,11.96,0,113,0.007304
104.2,158.9,2.99,11.96,0,150,0.007304
145.7,119.1,2.99,11.96,0,80,0.007304
175.7,182.1,2.99,11.96,0,69,0.007304
89.51,31.86,2.99,11.96,0,153,0.007304
154.5,192.1,2.99,11.96,0,33,0.007304
162.7,78.21,2.99,11.96,0,137,0.007304
15.66,145.1,2.99,11.96,0,4,0.007304
137.5,181.7,2.99,11.96,0,72,0.007304
137.6,91.17,2.99,11.96,0,356,0.007304
173.3,200.5,2.99,11.96,0,202,0.007304
180.8,129.5,2.99,11.96,0,11,0.007304
144.3,111,2.99,11.96,0,337,0.007304
204.8,141.7,2.99,11.96,0,217,0.007304
65.67,127.6,2.99,11.96,0,119,0.007304
161.3,189.2,2.99,11.96,0,70,0.007304
195.6,136.5,2.99,11.96,0,26,0.007304
44.46,133.8,2.99,11.96,0,24,0.007304
106.8,31.37,2.99,11.96,0,267,0.007304
169.2,14.6,2.99,11.96,0,254,0.007304
168.4,123.1,2.99,11.96,0,18,0.007304
179.1,170.2,2.99,11.96,0,55,0.007304
