# Parameter file from Standfire module

#Species information
#Name	Genus	Trait	Tax. Level	Info	SLA	Color (RGB)	CrownGeometry
Default	Genus	Trait	1	No_info	6.0	0,0,0	{(0,5);(10,60);(25,99);(50,93);(75,69);(100,0)}
2TB	Other	Trait	1	No_info	6.0	255,0,0	{(0,0);(1,100);(99,100);(100,0)}
2TD	Other	Trait	1	No_info	6.0	255,0,0	{(0,0);(10,80);(99,100);(100,0)}
2TE	Other	Trait	1	No_info	6.0	255,0,0	{(0,0);(3,91);(80,40);(100,0)}
2TREE	Other	Trait	1	No_info	6.0	255,0,0	{(0,0);(1,70);(99,100);(100,0)}
ABAM	Abies	Trait	1	No_info	6.0	34,139,34	{(0,0);(10,100);(80,60);(100,0)}
ABBA	Abies	Trait	1	No_info	6.0	34,139,34	{(0,0);(1,100);(73,21);(100,0)}
ABBR	Abies	Trait	1	No_info	6.0	34,139,34	{(0,0);(1,100);(87,12);(100,0)}
ABCO	Abies	Trait	1	No_info	6.0	34,139,34	{(0,0);(10,100);(80,60);(100,0)}
ABGR	Abies	Trait	1	No_info	6.0	34,139,34	{(0,0);(1,100);(80,60);(100,0)}
ABIES	Abies	Trait	1	No_info	6.0	34,139,34	{(0,0);(1,100);(87,12);(100,0)}
ABLA	Abies	Trait	1	No_info	6.0	34,139,34	{(0,0);(1,100);(87,12);(100,0)}
ABLAA	Abies	Trait	1	No_info	6.0	34,139,34	{(0,0);(10,45);(43,39);(100,0)}
ABMA	Abies	Trait	1	No_info	6.0	34,139,34	{(0,0);(1,100);(88,63);(100,0)}
ABPR	Abies	Trait	1	No_info	6.0	34,139,34	{(0,0);(1,100);(92,67);(100,0)}
ABSH	Abies	Trait	1	No_info	6.0	34,139,34	{(0,0);(1,100);(92,67);(100,0)}
ACACI	Acacia	Trait	1	No_info	6.0	76,230,0	{(0,0);(10,80);(99,100);(100,0)}
ACBA3	Acer	Trait	1	No_info	6.0	76,230,0	{(0,0);(1,90);(99,100);(100,0)}
ACCI	Acer	Trait	1	No_info	6.0	76,230,0	{(0,0);(10,80);(99,100);(100,0)}
ACER	Acer	Trait	1	No_info	6.0	76,230,0	{(0,0);(10,80);(99,100);(100,0)}
ACGL	Acer	Trait	1	No_info	6.0	76,230,0	{(0,0);(10,80);(99,100);(100,0)}
ACGR3	Acer	Trait	1	No_info	6.0	76,230,0	{(0,0);(10,80);(99,100);(100,0)}
ACLE	Acer	Trait	1	No_info	6.0	76,230,0	{(0,0);(1,100);(99,100);(100,0)}
ACMA3	Acer	Trait	1	No_info	6.0	76,230,0	{(0,0);(10,80);(99,100);(100,0)}
ACNE2	Acer	Trait	1	No_info	6.0	76,230,0	{(0,0);(1,90);(99,100);(100,0)}
ACNI5	Acer	Trait	1	No_info	6.0	76,230,0	{(0,0);(1,100);(99,100);(100,0)}
ACPE	Acer	Trait	1	No_info	6.0	76,230,0	{(0,0);(1,30);(99,100);(100,0)}
ACRU	Acer	Trait	1	No_info	6.0	76,230,0	{(0,0);(1,100);(99,100);(100,0)}
ACSA2	Acer	Trait	1	No_info	6.0	76,230,0	{(0,0);(1,100);(99,100);(100,0)}
ACSA3	Acer	Trait	1	No_info	6.0	76,230,0	{(0,0);(1,100);(99,100);(100,0)}
ACSP2	Acer	Trait	1	No_info	6.0	76,230,0	{(0,0);(1,70);(99,100);(100,0)}
AECA	Aesculus	Trait	1	No_info	6.0	76,230,0	{(0,0);(1,91);(99,100);(100,0)}
AEFL	Aesculus	Trait	1	No_info	6.0	76,230,0	{(0,0);(1,91);(99,100);(100,0)}
AEGL	Aesculus	Trait	1	No_info	6.0	76,230,0	{(0,0);(1,91);(99,100);(100,0)}
AESCU	Aesculus	Trait	1	No_info	6.0	76,230,0	{(0,0);(1,91);(99,100);(100,0)}
AIAL	Ailanthus	Trait	1	No_info	6.0	76,230,0	{(0,0);(10,80);(99,100);(100,0)}
ALGL2	Alnus	Trait	1	No_info	6.0	76,230,0	{(0,0);(1,100);(99,40);(100,0)}
ALNUS	Alnus	Trait	1	No_info	6.0	76,230,0	{(0,0);(1,100);(99,40);(100,0)}
ALRH2	Alnus	Trait	1	No_info	6.0	76,230,0	{(0,0);(1,95);(99,45);(100,0)}
ALRU2	Alnus	Trait	1	No_info	6.0	76,230,0	{(0,0);(1,100);(99,40);(100,0)}
AMELA	Amelanchier	Trait	1	No_info	6.0	76,230,0	{(0,0);(1,20);(99,100);(100,0)}
ARAR2	Arbutus	Trait	1	No_info	6.0	76,230,0	{(0,0);(25,66);(99,100);(100,0)}
ARBUT	Arbutus	Trait	1	No_info	6.0	76,230,0	{(0,0);(25,66);(99,100);(100,0)}
ARME	Arbutus	Trait	1	No_info	6.0	76,230,0	{(0,0);(25,66);(99,100);(100,0)}
BEAL2	Betula	Trait	1	No_info	6.0	76,230,0	{(0,0);(1,91);(99,100);(100,0)}
BELE	Betula	Trait	1	No_info	6.0	76,230,0	{(0,0);(1,91);(99,100);(100,0)}
BENI	Betula	Trait	1	No_info	6.0	76,230,0	{(0,0);(1,91);(99,100);(100,0)}
BEOC2	Betula	Trait	1	No_info	6.0	76,230,0	{(0,0);(1,100);(99,73);(100,0)}
BEPA	Betula	Trait	1	No_info	6.0	76,230,0	{(0,0);(1,100);(99,73);(100,0)}
BEPO	Betula	Trait	1	No_info	6.0	76,230,0	{(0,0);(1,56);(99,100);(100,0)}
BETUL	Betula	Trait	1	No_info	6.0	76,230,0	{(0,0);(1,100);(99,73);(100,0)}
BEUT	Betula	Trait	1	No_info	6.0	76,230,0	{(0,0);(1,100);(99,73);(100,0)}
CAAL27	Carya	Trait	1	No_info	6.0	76,230,0	{(0,0);(1,40);(99,100);(100,0)}
CAAQ2	Carya	Trait	1	No_info	6.0	76,230,0	{(0,0);(1,100);(99,76);(100,0)}
CACA18	Carpinus	Trait	1	No_info	6.0	76,230,0	{(0,0);(1,35);(99,100);(100,0)}
CACO15	Carya	Trait	1	No_info	6.0	76,230,0	{(0,0);(1,100);(99,100);(100,0)}
CADE12	Castanea	Trait	1	No_info	6.0	76,230,0	{(0,0);(1,70);(99,100);(100,0)}
