       [Log] 16:34, INFO, Booting capsis.app.CapsisExtensionManager
       [Log] 16:34, INFO, extension extensionSettings file name = C:\Users\bhdavis\Documents\STANDFIRE\github\Aug15_update\standfire\bin\capsis\etc/extension.settings
       [Log] 16:34, INFO, declaring type: ObjectViewer
       [Log] 16:34, INFO, declaring type: Export
       [Log] 16:34, INFO, declaring type: Import
       [Log] 16:34, INFO, declaring type: ItemChooser
       [Log] 16:34, INFO, declaring type: ItemPattern
       [Log] 16:34, INFO, declaring type: Sketcher
       [Log] 16:34, INFO, declaring type: ItemEditor
       [Log] 16:34, INFO, reading: jeeb.xplo.extension.sketcher.grid_xyz_sketcher.GridXYZSketcher enabled
       [Log] 16:34, INFO, reading: jeeb.lib.sketch.scene.extension.itempattern.ClickPattern enabled
       [Log] 16:34, INFO, reading: jeeb.lib.sketch.extension.editor.ItemEditor enabled
       [Log] 16:34, INFO, reading: jeeb.lib.sketch.scene.extension.sketcher.TreeWithCrownProfileSketcher enabled
       [Log] 16:34, INFO, reading: jeeb.lib.sketch.extension.sketcher.BoundingBoxSketcher enabled
       [Log] 16:34, INFO, reading: jeeb.lib.sketch.scene.extension.itempattern.AlongLine enabled
       [Log] 16:34, INFO, reading: jeeb.lib.sketch.scene.extension.itemchooser.FileChooser enabled
       [Log] 16:34, INFO, reading: jeeb.lib.sketch.scene.extension.itempattern.SelectionPattern enabled
       [Log] 16:34, INFO, reading: jeeb.lib.sketch.scene.extension.itempattern.LinePattern enabled
       [Log] 16:34, INFO, reading: jeeb.lib.sketch.scene.extension.sketcher.ContourSketcher enabled
       [Log] 16:34, INFO, reading: jeeb.lib.sketch.extension.objectviewer.SelectionTable enabled
       [Log] 16:34, INFO, reading: jeeb.lib.sketch.scene.extension.sketcher.SelectionSketcher enabled
       [Log] 16:34, INFO, reading: jeeb.lib.sketch.extension.objectviewer.InspectorViewer enabled
       [Log] 16:34, INFO, reading: jeeb.lib.sketch.extension.sketcher.MeshItemSketcher enabled
       [Log] 16:34, INFO, reading: jeeb.lib.sketch.extension.sketcher.AnchorSketcher enabled
       [Log] 16:34, INFO, reading: jeeb.lib.sketch.scene.extension.itempattern.RandomPattern enabled
       [Log] 16:34, INFO, reading: jeeb.lib.sketch.scene.extension.editor.LineEditor enabled
       [Log] 16:34, INFO, reading: jeeb.lib.sketch.extension.objectviewer.GlanceWrapper enabled
       [Log] 16:34, INFO, reading: jeeb.lib.sketch.extension.sketcher.GridSketcher enabled
       [Log] 16:34, INFO, reading: jeeb.lib.sketch.scene.extension.sketcher.DTMSketcher enabled
       [Log] 16:34, INFO, reading: jeeb.lib.sketch.extension.editor.GridEditor enabled
       [Log] 16:34, INFO, reading: jeeb.lib.sketch.scene.extension.sketcher.TreeSketcher enabled
       [Log] 16:34, INFO, reading: jeeb.lib.sketch.scene.extension.itemchooser.Frequency enabled
       [Log] 16:34, INFO, declaring type: GenericTool
       [Log] 16:34, INFO, declaring type: DataExtractor
       [Log] 16:34, INFO, declaring type: IOFormat
       [Log] 16:34, INFO, declaring type: IOFormat
       [Log] 16:34, INFO, declaring type: StandViewer
       [Log] 16:34, INFO, declaring type: DataRenderer
       [Log] 16:34, INFO, declaring type: Intervener
       [Log] 16:34, INFO, declaring type: ModelTool
       [Log] 16:34, INFO, declaring type: Filter
       [Log] 16:34, INFO, declaring type: TreeLogger
       [Log] 16:34, INFO, declaring type: EconomicFunction
